Product Name,Processor Type,RAM,Storage,Display,Features,Price
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 256GB SSD 15.6"" FHD Laptop","Intel Core i3-1215U (10M Cache, up to 4.40 GHz)","8GB RAM, ", 512GB SSD,"15.6"" FHD (1920X1080)","Type-C, Stereo Speakers","63,900"
"Huawei MateBook D15 Core i3 11th Gen 15.6"" FHD Laptop","Intel Core i3-1215U (10MB Cache, Up to 4.4 GHz)","8GB RAM, ", 512GB SSD,"15.6"" FHD (1920x1080) IPS 60Hz","Backlit Keyboard, Fingerprint, Type-C","60,500"
"Acer Extensa 15 EX215-54-57SB Core i5 11th Gen 15.6"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","4GB DDR4 , ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Full-Size Textured island-style keyboard, Type-C","64,000"
"Lenovo IdeaPad Slim 3i 15IAU7 Core i3 12th Gen 15.6"" FHD Laptop","Intel Core i3-1305U (10M Cache, 3.3 GHz up to 4.5 GHz)","8GB DDR4, ", 256GB SSD,"15.6"" FHD (1920 x 1080)","Full-Size Textured island-style keyboard, Type-C","64,000"
"Walton Passion BX510U Core i5 10th Gen 15.6"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR5, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Backlit Keyboard, Type-C","64,550"
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 8GB RAM 15.6"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4 RAM, ", 512GB SSD,"15.6"" FHD (1920X1080)","Backlit Keyboard, Fingerprint, Type-C","65,500"
"ASUS VivoBook 15 X1502ZA-EJ850W Core i3 12th Gen 15.6"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4 RAM, ", 512GB SSD,15.6 FHD (1920 x 1080),"Type-C, Stereo Speakers","66,000"
"HP 240 G8 Core i5 11th Gen 14"" FHD Laptop","Intel Core i3-1220P (12M Cache, up to 4.40 GHz)","8GB DDR4 RAM, ", 512GB SSD,"14"" FHD (1920 x 1080)","Island-type Keyboard, Type-C","67,500"
"Lenovo IdeaPad Slim 3i 15IRU8 Core i3 13th Gen 15.6"" FHD Laptop",Intel Core i3-1315U (1.2 GHz Up to 4.5 GHz),"8GB DDR4 RAM, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Island-type Keyboard, Type-C","68,000"
"ASUS VivoBook 15 X515EA Core i5 11th Gen 15.6"" FHD Laptop","Intel Core i3-1305U (10M Cache, 3.3 GHz up to 4.5 GHz)","8GB DDR4 RAM, ", 512GB SSD,"15.6"" FHD (1920X1080)","Island-type Keyboard, Type-C","68,500"
"HP 240 G8 Core i5 11th Gen 512GB SSD 14"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4 RAM, ", 512GB SSD,"14"" FHD (1920 x 1080)","Island-type Keyboard, Type-C","76,000"
"HP 240 G8 Core i5 11th Gen 512GB SSD 14"" FHD Laptop with Windows 11 Home","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080)","Island-type Keyboard, Type-C","68,000"
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 15.6"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920X1080)","Island-type Keyboard, Type-C","69,800"
"ASUS Vivobook 15 X1504VA-NJ260W Core i3 13th Gen 15.6"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4 RAM, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","HD Camera with Dual Mic, Type-C","70,500"
"Lenovo IdeaPad Slim 3i 14IRU8 Core i3 13th Gen 14"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","RSM: 8GB DDR4 RAM, ", 512GB SSD,"14"" FHD (1920 x 1080)","Stereo Speakers, Built-In Microphones","70,500"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Soft Lavender","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4 RAM, ", 512GB SSD,"14"" (1920 x 1080) FHD","Island-type Keyboard, Type-C","70,950"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Infinite Black","Intel Core i5-1155G7 (8M Cache, 2.50 GHz up to 4.50 GHz)","8GB DDR4 RAM, ", 512GB SSD,"14"" (1920 x 1080) FHD","Island-type Keyboard, Type-C","70,950"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Star Silver","Intel Core i5-1235U 12th Gen (12M Cache, Up to 4.40 GHz)","8GB DDR4 RAM, ", 512GB SSD,"14"" (1920 x 1080) FHD","Island-type Keyboard, Type-C","70,950"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Aqua Blue","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4, ", 256 GB,"14"" (1920 x 1080) FHD","Island-type Keyboard, Type-C","70,950"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Anchor Grey","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4, ", 512GB SSD,"14"" (1920 x 1080) FHD","Island-type Keyboard, Type-C","70,950"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Golden Matt Black","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4 3200 MHz, ", 256GB SSD,"14"" (1920 x 1080) FHD","Type-C, M.2","70,950"
"HP 15s-fq4786TU Core i5 11th Gen 15.6"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Fingerprint, Type-C, Privacy Shutter, Wi-Fi 6","71,300"
"Acer Aspire 3 A315-59-5031 Core i5 12th Gen 15.6"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920x1080) IPS","Wi-Fi 6, Camera Shutter","71,500"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Flowers on Yellow",Intel Core i5-1135G7 11th Gen (2.40 GHz to 4.20 GHz Turbo),"8GB DDR4, ", 512GB SSD,"14"" (1920 x 1080) FHD","Stereo speakers, Type-C","71,990"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Iris on Ruby","Intel Core i3-1215U (10M Cache, up to 4.4 GHz)","8GB DDR4, ", 512GB SSD,"14"" (1920 x 1080) FHD","Full-size Keyboard, Type-C","71,990"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Paisley on Lilac","Intel Core i5-1235U (12M Cache, 3.30 GHz, up to 4.40 GHz)","8GB 3200MHz, ", 512GB SSD,"14"" (1920 x 1080) FHD","Stereo Speakers, Built-In Microphones","71,990"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Azure Blue","Intel Core i5-1135G7 (2.40 GHz up to 4.20 GHz, 8 MB Cache)","8GB 2666MHz, ", 512GB SATAIII M.2 2280 SSD,"14"" (1920 x 1080) FHD","Stereo Speakers, Built-In Microphones","71,990"
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Mountain Blue","AMD Ryzen 5 5625U (16MB L3 Cache, 2.3GHz, up to 4.3GHz)","16GB DDR4 3200MHz, ", 512GB M.2 2280 SSD,"14"" (1920 x 1080) FHD","Backlit Keyboard, Type-C","71,990"
