Product Name,Processor Type,RAM,Storage,Display,Features,Price
"Lenovo IdeaPad Slim 3i 15IRH8 Core i5 13th Gen 15.6"" FHD Laptop","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)","16GB 3200MHz, ", 512GB SSD ,"15.6"" FHD (1920 x 1080)","Backlit keyboard, Fingerprint, Type-C","87,000"
"Lenovo IdeaPad Slim 3i 14IRH8 Core i5 13th Gen 14"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","4GB 3200MHZ , ", 512GB SSD,"14"" FHD (1920 x 1080)","Backlit Chiclet Keyboard, Type-C","87,000"
"Lenovo IdeaPad Slim 3i 15IRH8 Core i5 13th Gen 15.6"" FHD Laptop With Windows 11","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)",8GB DDR4  , 512GB SSD,"15.6"" FHD (1920 x 1080)","Backlit Keyboard, Fingerprint, Type-C","87,000"
"ASUS VivoBook 16 X1605ZA Core i5 12th Gen 16"" WUXGA Laptop","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)","16GB DDR4 3200MHz RAM, ", 512GB NVMe PCIe Gen3x4 SSD ,"16-inch,  WUXGA (1920 x 1200) IPS","Backlight Keyboard, Type-C","87,500"
"Lenovo IP Slim 3 15ABR8 Ryzen 7 15.6"" FHD Laptop",AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz),"16GB DDR4, ", 512GB SSD,"15.6"" FHD (1920x1080)","Backlit Keyboard, Fingerprint , Type-C","83,000"
"Lenovo IdeaPad Slim 3i Core i7 11th Gen 15.6"" FHD Laptop","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Backlit Keyboard, Fingerprint, Type-C","88,000"
"Asus Vivobook S15 S513EA Core i5 11th Gen 15.6"" OLED FHD Laptop","Intel Core i5-1235U (12M Cache, 3.30 GHz, up to 4.40 GHz)","8GB  3200Mhz, ", 512GB SSD,"15.6"" OLED FHD","Backlight Keyboard, Type-C","89,000"
"Lenovo IdeaPad Slim 3i Core i7 11th Gen 15.6"" FHD Laptop with Fingerprint",Intel Core i5-1335U (1.3 GHz Up to 4.6 GHz),"8GB DDR4, ", 512 GB SSD,"15.6"" FHD (1920 x 1080)","Backlit Keyboard, Type-C, Privacy Shutter, Wi-Fi 6E","89,000"
"Lenovo IdeaPad Slim 3i Core i7 11th Gen 14"" FHD Laptop","Intel Core i7-1255U (12M Cache, 3.50 GHz, up to 4.70 GHz)","8GB, ", 512GB SSD,"14"" FHD (1920 x 1080)","Backlit Keyboard, Type-C","89,000"
"ASUS Vivobook 15 OLED M1505YA AMD Ryzen 5 15.6"" FHD Laptop","AMD Ryzen 5 5500U (8M Cache, 2.1GHz up to 4.0GHz, 6 cores)","16GB DDR4 3200MHz, ", 512GB SSD,"15.6-inch, FHD (1920 x 1080) OLED","Fingerprint, Type-C","89,000"
"Lenovo IdeaPad Slim 3i Core i7 11th Gen 15.6"" FHD Laptop Abyss Blue",Intel Core i5-12450H 12th Gen,"8 GB DDR4 3200MHz, ", 512GB PCIe SSD,"15.6"" FHD (1920 x 1080)","Backlit Keyboard, Fingerprint, Type-C","89,000"
"ASUS VivoBook 15X K3504ZA Core i5 12th Gen 15.6"" Laptop","Intel Core i5-1335U (12M Cache, 3.40 GHz, up to 4.60 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920x1080) ","Backlit Keyboard, Type-C","89,000"
"ASUS Vivobook 15 X1504VA-NJ261W Core i5 13th Gen 15.6"" FHD Laptop","Intel Core i5-1235U (12M Cache, 3.30 GHz, up to 4.40 GHz)","8GB DDR4 3200MHz, ", 512GB NVMe PCIe SSD,"15.6"" FHD (1920 x 1080)","Backlit Keyboard, Type-C","89,500"
"MSI Modern 15 B12M Core i7 12th Gen 16GB RAM 15.6"" FHD Laptop","Intel Core i5-1240P Processor (12M Cache, up to 4.40 GHz)","8GB DDR4 (ON BOARD), ", 512GB M.2 SSD,"15.6"" FHD (1920x1080) ","Type-C, Fingerprint, Backlit Keyboard, Wi-Fi 6E","89,900"
"Asus VivoBook Flip 14 TM420UA Ryzen 5 14"" FHD Touch Laptop","AMD Ryzen 5 5625U (16MB L3 Cache, 2.3GHz, up to 4.3GHz)","8GB DDR4, ", 512GB M.2 SSD,"14"" FHD (1920x1080) Touch","Backlit keyboard, Stereo Speakers, Type-C","89,900"
Acer Aspire 7 A715-76G-59U9 Core i5 12th Gen GTX 1650 4GB 15.6 Inch 144Hz FHD Gaming Laptop,"Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)",8GB DDR4  , 512GB SSD,"15.6"" FHD (1920x1080) ","Backlight Keyboard, Type-C","89,900"
"MSI Modern 15 B13M Core i5 13th Gen 15.6"" FHD Laptop","AMD Ryzen 5 5500U (8M Cache, 2.1GHz up to 4.0GHz, 6 cores)","8GB DDR5, ", 512GB  SSD,"15.6"" FHD WV (1920x1080) LED","Backlit Keyboard, Fingerprint , Type-C,","91,500"
"ASUS VivoBook 15X K3504ZA Core i5 12th Gen 15.6"" FHD WV Laptop","Intel Core i7-1255U (12M Cache, 3.50 GHz, up to 4.70 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920x1080)","Backlit Keyboard, Fingerprint, Type-C","91,500"
"Acer Aspire 5 A515-57G-57LE Core i5 12th Gen RTX 2050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-1335U (up to 4.6GHz, 12 MB L3 cache)","8GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080)","HD Camera, USB Type-C / Thunderbolt 4 port","91,500"
"HP ProBook 455 G9 Ryzen 5 5625U 15.6"" FHD Laptop",Intel Core i5-1335U 13th Gen,"16GB DDR4, ", 512GB SSD,"14"" FHD (1920x1080) Display","Backlit Keyboard, Type-C","85,000"
"HP ProBook 440 G9 Core i5 12th Gen 14"" FHD Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","8GB 3200MHz, ", 512GB SSD,"14"" FHD (1920 x 1080)","Backlit Keyboard, Fingerprint, Type-C","93,000"
"ASUS ZenBook 14 UM425UA Ryzen 5 5500U 14"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB 3200MHz, ", 512GB M.2 SSD,"15.6"" FHD (1920 x 1080) IPS","Backlit Keyboard, Type-C","93,500"
"MSI Modern 14 C12MO Core i7 12th Gen 14"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4,  ", 512GB NVME SSD,"Features: Backlit Keyboard, Fingerprint, OLED Display","Backlit Keyboard, Type-C","91,500"
"HP ProBook 450 G10 Core i5 13th Gen 15.6"" FHD Laptop",Intel Core i5-12450H 12th Gen,"16GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080)","Backlit Keyboard, 360° Flip & Touch Screen, Fingerprint, Type-C","93,500"
"Acer Aspire 5 5M-A515-58GM Core i5 13th Gen RTX 2050 4GB Graphics 15.6"" FHD Gaming Laptop",Intel Core I7 13th Gen-1355U (10 Cores  + 12 Threads),"16GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080)","Spill-resistant keyboard, Type-C","94,000"
"MSI GF63 THIN 12UCX Core i5 12th Gen RTX 2050 4GB Graphics 15.6"" FHD 144hz Gaming Laptop","Intel Core i5-1240P Processor (12M Cache, up to 4.40 GHz)","16GB DDR4 3200MHz RAM, ", 512GB NVMe PCIe Gen3x4 SSD ,"14"" FHD (1920 x 1080) LED","Stereo Speaker, Type-C, Backlit Keyboard","94,500"
"Asus VivoBook 15 S513EQ Core i5 11th Gen 8GB RAM 15.6"" OLED FHD Laptop",AMD Ryzen 7 5700U(1.8GHz Up to 4.3GHz) ,16GB LPDDR4x , 512GB SSD,"14"" FHD (1920 x 1080)","Backlit Keyboard, Type-C, Privacy Shutter","95,000"
"Asus VivoBook 15 K513EQ Core i5 11th Gen 15.6"" OLED FHD Laptop","Intel Core i7-11800H (24M Cache, 2.30 GHz up to 4.60 GHz)","8GB DDR4 3200MHz, ", 512GB NVMe PCIe SSD,"14"" WUXGA (1920x1200) IPS","Backlit Keyboard, Fingerprint, Type-C","95,000"
"Acer Aspire 7 A715-76G Core i5 12th Gen RTX 3050 4GB Graphics IPS 144Hz 15.6"" Gaming Laptop","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)","8GB DDR4 3200MHz, ", 512GB NVMe PCIe SSD,"14"" FHD (1920x1080) ","Backlight Keyboard, Type-C","95,900"
"Acer Aspire 5 A515-58GM-74CC core i7 13th Gen RTX 2050 4GB 15.6"" FHD Gaming Laptop"," Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4 3200MHz, ", 512GB NVMe PCIe SSD,"14"" WUXGA (1920x1200) IPS","Backlit Keyboard, Touch, Type-C","96,500"
"Acer Aspire 5 AN515-57G-52HF Core i5 12th Gen RTX 2050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i7-1255U (12M Cache, 3.50 GHz, up to 4.70 GHz)","16GB DDR4 3200MHz RAM, ", 512GB NVMe PCIe Gen3x4 SSD ,"15.6"" FHD (1920x1080) ","Backlight Keyboard, Type-C","96,900"
"ASUS VivoBook Flip 14 TM420UA-EC046 Ryzen 7 5700U 14"" FHD Touch Laptop","Intel Core i5-1335U (12M Cache, 3.40 GHz, up to 4.60 GHz)","8GB DDR4 3200MHz, ", 1TB M.2 PCIe Gen4 SSD ,"14” FHD+ (1920x1200), IPS-Level","Backlight Keyboard, Type-C","97,000"
"MSI GF63 THIN 11SC Core i7 11th Gen GTX 1650 Max Q 4GB Graphics 15.6"" FHD 144hz Gaming Laptop",AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz),"16GB DDR4, ", 512GB SSD,"15.6"" FHD (1920x1080) LED","Backlight Keyboard, Type-C","97,000"
"Walton Tamarind MX711G Core i7 11th Gen 14"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","16GB DDR4, ", 512GB SSD,"15.6"" FHD WV (1920x1080) LED","Backlight Keyboard, Type-C","97,500"
Asus ExpertBook B3 Flip B3402FEA Core i5 14-inch 250 Nits 360° FHD Touch Laptop,"Intel Core i7-1355U (12M Cache, 3.70 GHz, up to 5.00 GHz)","8GB DDR4, ", 512GB SSD,"16"" 4K (3840 x 2400) OLED","Fingerprint, Backlit Keyboard, Type-C, Wi-Fi 6E","98,000"
"Acer TravelMate TMP214-54 Core i7 12th Gen 14"" FHD Laptop",AMD Ryzen 7 5700U (1.8GHz up to 4.3GHz),"8GB DDR4, ", 512GB SSD,"14"" FHD (1920x1080) IPS","Backlit Keyboard, Type-C, Privacy Shutter, Wi-Fi 6E","98,000"
"Acer Aspire 5M-A515-58GM Core i5 13th Gen RTX 2050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","8GB DDR4 2666MHz, ", 512GB SSD,"14"" FHD (1920 x 1080) LED","Backlit Keyboard, Type-C","99,500"
"Lenovo IdeaPad Slim 5 14ABR8 Ryzen 5 7530U 14"" WUXGA Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" (1920x1080) FHD","Backlit Keyboard, Type-C, Privacy Shutter, Wi-Fi 6E","99,500"
"Asus Vivobook S15 S513EQ Core i5 11th Gen 15.6"" OLED FHD Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","8GB DDR4 (ON BOARD), ", 512GB M.2 SSD,13.3-inch 2560x1600 LED-backlit Retina,"Backlit Chiclet Keyboard, Type-C","102,500"
"MSI Modern 14 C13M Core i7 13th Gen 14"" FHD Laptop","Intel Core i7-1355U (12M Cache, 3.70 GHz, up to 5.00 GHz)",8GB DDR4  , 512GB SSD,13.3-inch 2560x1600 LED-backlit Retina,"Backlit Keyboard, Finger Print, Type-C, Privacy Shutter","104,500"
"Lenovo IdeaPad Flex 5 14ALC7 AMD Ryzen 7 5700U 14"" Touchscreen Laptop","Intel Core i5-13420H (12M Cache, 3.4 GHz up to 4.6 GHz)","8GB, ", 256GB SSD,"13.3"" FHD (1920x1080) Multitouch Display","Backlit Keyboard, Type-C","105,000"
"MSI GF63 THIN 12UC Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD 144hz Gaming Laptop","Intel Core i5-1335U (12M Cache, 3.30 GHz, up to 4.40 GHz)","8GB, ", 256GB SSD,"14"" WUXGA (1920x1200) IPS",Backlit Keyboard,"96,500"
"MSI Thin 15 B12UC Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD 144hz Gaming Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080)","Backlit Keyboard, Type-C","99,500"
"MSI Thin 15 B12UC Core i5 12th Gen RTX 2050 4GB Graphics 15.6"" FHD 144hz Gaming Laptop","Intel Core i7-1255U (12M Cache, 3.30 GHz, up to 4.70 GHz)","8GB DDR4, ", 512GB SSD,"14"" WUXGA (1920x1200) IPS","Backlit keyboard, Type-C","96,500"
"MSI Modern 15 B13M Core i7 13th Gen 15.6"" FHD Laptop","Ryzen 5 5600H (L2 3MB & L3 16MB Cache, 3.3GHz Up to 4.2GHz)","8GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080) IPS","Backlit Keyboard, Fingerprint, Type-C","105,500"
"MSI Commercial 14 H A13MG Core i5 13th Gen 14"" FHD+ Laptop",AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz),"8GB RAM, ", 512GB SSD,"15.6"" FHD (1920 x 1080) IPS","Backlit Keyboard, Type-C","106,000"
"ASUS VivoBook 15X K3504VA Core i5 13th Gen 15.6"" FHD Laptop","Intel Core i7-11800H (24M Cache, 2.30 GHz up to 4.60 GHz)",Memory: 16GB DDR4 3200MHz RAM , 256GB SSD + 1TB HDD,"14-inch, WUXGA (1920 x 1200) IPS",Backlit Magic Keyboard,"106,500"
"MSI Cyborg 15 A12UCX Core i5 12th Gen RTX 2050 4GB Graphics 8GB RAM 15.6"" FHD Gaming Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4 (ONBOARD), ", 512GB M.2 SSD,"13.3"" FHD (1920x1080)",Backlit Magic Keyboard,"107,000"
"ASUS VivoBook 15X K3504ZA Core i7 12th Gen 15.6"" FHD WV Laptop","Intel Core i5-1240P Processor (12M Cache, up to 4.40 GHz)","8GB DDR5, ", 512GB SSD ,"14""  WQXGA (2560X1600)","Backlit Keyboard, Camera privacy shutter","107,500"
"ASUS Vivobook 16X OLED M1603QA Ryzen 5 5600H 16"" 4K Laptop","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)","8 GB DDR4 3200MHz, ", 512GB PCIe SSD,"14""  2.8K OLED WQHD (2880X1800) ","Backlit Keyboard 1-Zone RGB, Type-C","108,000"
"Lenovo IdeaPad Light 5 14ABR8 Ryzen 5 7530U 14"" FHD Laptop","Intel Core i7-11370H Processor (12M Cache, 3.30 GHz up to 4.80 GHz)","8 GB DDR4 3200MHz, ", 512GB PCIe SSD,"16"" 2.5K (2560x1600)","Backlit Keyboard, Type-C, Wi-Fi 6","108,000"
"ASUS TUF Gaming F15 FX506HF Core i7 11th Gen RTX 2050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-13420H (12M Cache, 3.4 GHz up to 4.6 GHz)","8GB DDR4 (ONBOARD), ", 512GB M.2 SSD,"16"" 2.5K (2560x1600)","Fingerprint , Stereo Speakers, Type-C","108,900"
"Asus ZenBook 14 UX425EA Intel Core i5 1135G7 11th Gen 14"" FHD WV Laptop",Apple M1 chip with 8-core CPU and 7-core GPU,"16GB, ", 512GB SSD,"Features: 15.6"" 144Hz Display, Backlit Keyboard","Backlit keyboard, Type-C","109,000"
"Acer Aspire 7 A715-51G Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop",Apple M1 chip with 8-core CPU and 7-core GPU,"8GB DDR4, ", 512GB SSD,"16"" WUXGA (1920x1200) IPS","Backlit keyboard, Type-C","111,500"
"Asus VivoBook 15 X513EP Core i7 11th Gen MX330 2GB Graphics 15.6"" FHD Laptop With Windows 11",AMD Ryzen 7 7730U (2.0GHz up to 4.5GHz),"8GB DDR4 3200MHz , ", 512GB SSD,"Features: Backlit Keyboard, 300Hz Display, Type-C","Fingerprint sensor, Type-C","112,000"
"ASUS VivoBook Pro 15 K3500PA Core i7 11th Gen 15.6"" FHD Laptop","Intel Core i5-12500H (18M Cache, up to 4.50 GHz)","16GB DDR4, ", 512GB SSD,"16"" 3.2K (3200 x 2000) OLED Touch screen","Backlit Keyboard, Fingerprint, Touch, Privacy Shutter","113,500"
"MSI Cyborg 15 A13UC Core i5 13th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB, ", 512GB SSD,"14"" FHD (1920 x 1080)","Backlit Keyboard, Type-C","113,500"
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN63) Space Gray","Intel Core i7-1255U (12M Cache, up to 4.70 GHz)","16GB, ", 512GB SSD,"Features: 360Hz Display, RGB Keyboard, Type-C","Type-C, Fingerprint, Backlit Keyboard, Wi-Fi 6E","112,000"
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN93) Silver","Intel Core i7-11370H (12M Cache, 3.30 GHz up to 4.80 GHz, with IPU)","8GB DDR4, ", 512GB SSD,"13.6"" Liquid Retina display (2560 x 1664)","Type-C, Fingerprint, Backlit Keyboard, Wi-Fi 6E","112,000"
"Lenovo Yoga 6 13ABR8 Ryzen 5 7530U 13.3"" FHD Touch Laptop ","Intel Core i7-11370H (12M Cache, 3.30 GHz up to 4.80 GHz, with IPU)","8GB DDR4, ", 512GB SSD,"16"" OLED WQUXGA (3840 X 2400)","Backlit Keyboard, Fingerprint sensor, Type-C","115,000"
"Lenovo IdeaPad Flex 5 14ABR8 Ryzen 7 7730U 14"" Touchscreen Laptop ","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz)","8GB DDR4 3200MHz, ", 512GB SSD,"Features: Backlit Keyboard, 144Hz Display, Type-C","Backlit Keyboard, Dolby Audio, Type-C","115,000"
"ASUS TUF Gaming F15 FX507ZC4 Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-1235U (12M Cache, 3.3 GHz up to 4.4 GHz)","8GB DDR5, ", 512GB SSD,"14"" WUXGA (1920x1200) IPS","Backlit Keyboard, Type-C","115,900"
"Acer Nitro 5 AN515-58-59JP Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD 144Hz Gaming Laptop","AMD Ryzen 5 7535HS (3.3GHz up to 4.55GHz, 6 cores)","8GB DDR5, ", 512GB SSD ,"13.6"" Liquid Retina display (2560 x 1664)","144Hz Refresh Rate, Backlit keyboard, Type-C","117,000"
"HP ProBook 440 G9 Core i7 12th Gen 14"" FHD Laptop","Intel Core i7-1355U (up to 5.0GHz, 12 MB L3 cache)","8GB DDR4 3200MHz , ", 512GB SSD,"14"" 2.8K (2880x1800) OLED Touch","Privacy Shutter, Type-C, Wi-Fi 6E","117,500"
"Lenovo IdeaPad Gaming 3i Core i7 11th Gen GTX 1650 4GB Graphics 15.6"" FHD Laptop","Intel Core i7-1355U (up to 5.0GHz, 12 MB L3 cache)","8GB DDR5 4800MHz, ", 512GB SSD,"14.0"" 2.8K (2880 x 1800) OLED Touch","High Definition Audio, FHD 1080p + IR with Privacy Shutter","118,000"
"Lenovo IdeaPad Gaming 3i Core i7 11th Gen GTX 1650 4GB Graphics 15.6"" FHD Laptop With 3 Years Warranty","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz)","16GB DDR4 3200MHz , ", 512GB SSD,"14"" 2.8K (2880 x 1800) OLED","Backlit Keyboard, Type-C","118,000"
"Asus VivoBook 15 S513EQ Core i7 11th Gen MX350 2GB Graphics 15.6"" FHD OLED Laptop","Intel Core i5-11300H (8M Cache, 3.10 GHz up to 4.40 GHz)","16GB DDR4, ", 512GB SSD,"14"" WUXGA (1920x1200) IPS","Backlit Keyboard, Type-C","118,000"
"Lenovo IdeaPad Flex 5 14IAU7 Core i5 12th Gen 14"" WUXGA Touch Laptop","AMD Ryzen 5 4600H (8MB Cache, 3.0GHz up to 4.0GHz)","16GB DDR5, ", 512GB SSD,"13.6"" Liquid Retina display (2560 x 1664)","Backlit Keyboard, Type-C","118,000"
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 5 7535HS RTX 2050 4GB Graphics 15.6"" FHD Laptop","Intel Core i5-12500H Processor (18M Cache, up to 4.50 GHz)","16GB DDR4, ", 512GB SSD,"14"" WUXGA (1920x1200) OLED","High Definition Audio, Privacy Shutter, Stereo speakers","118,000"
"HP ProBook 440 G10 Core i7 13th Gen 14"" FHD Laptop","Intel Core i5-1335U (12MB Cache, up to 4.6 GHz)","8GB RAM, ", 512GB SSD,"15.6 Inch, FHD (1920*1080)","Backlit Keyboard, Type-C","118,500"
"HP ProBook 450 G10 Core i7 13th Gen 15.6"" FHD Laptop",AMD Ryzen 7 7730U ,"8GB DDR5 4800MHz, ", 512GB SSD,"15.3"" Liquid Retina display (2880 x 1864)","High Definition Audio, Privacy Shutter, Stereo speakers","118,500"
"Asus VivoBook 15 S513EQ Core i7 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop","AMD Ryzen 7 5825U (2.0GHz Up to 4.5GHz, Core 8, Threads 16)","16GB DDR4 3200MHz, ", 512GB NVMe SSD,"15.3"" Liquid Retina display (2880 x 1864)","Backlit Keyboard 1-Zone RGB, Type-C","119,000"
"Lenovo IdeaPad Slim 5i Pro Core i5 11th Gen MX450 2GB Graphics 16"" Laptop With 3 Years Warranty","AMD Ryzen 5 5625U (16MB L3 Cache, 2.3GHz, up to 4.3GHz)","16GB DDR4, ", 512GB SSD,"Features: QHD+, 240Hz Display, Backlit Keyboard","Backlit Keyboard, Type-C","121,000"
"Asus TUF Gaming A17 FA706ICB Ryzen 5 4600H RTX 3050 4GB Graphics 17.3"" FHD Gaming Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB DDR4 3200MHz , ", 512GB SSD,"14"" FHD (1920 x 1080) IPS","Backlit Keyboard, Type-C","121,000"
GIGABYTE G5 MF Core i5 12th Gen RTX 4050 6GB Graphics 15.6'' FHD 144Hz Gaming Laptop,AMD Ryzen 5 7535HS,"8GB DDR4 3200MHz , ", 512GB SSD,"Features: Backlit Keyboard, Dual Display, Type-C","144Hz Refresh Rate, Backlit keyboard, Type-C","124,000"
"ASUS VivoBook S 14 Flip TP3402VA Core i5 13th Gen 14"" WUXGA Touch Laptop","Intel Core i7-11800H (24M Cache, 2.30 GHz up to 4.60 GHz)","8GB DDR5 4800MHz, ", 512GB SSD,"14.5"" 2.5K (2560x1600) IPS, 90Hz","Backlit Keyboard, Type-C","124,000"
"Lenovo Yoga 6 13ABR8 Ryzen 7 7730U 13.3"" FHD Touch Laptop",AMD Ryzen 7 7735HS ,"16GB DDR4, ", 512GB SSD,"13.3"" 3K (2880 x 1800) OLED 0.2ms Touchscreen","Backlight Keyboard, Type-C","125,000"
"Asus ZenBook 14 UM3402YA Ryzen 7 5825U 14"" WQXGA Laptop","Intel Core i7-12700H (24M Cache, 3.50 GHz up to 4.70 GHz)","8GB, ", 256GB SSD,"13.6"" Liquid Retina display (2560 x 1664)","Backlit Keyboard, 144Hz, Type C","129,000"
"Asus ZenBook 14 OLED UM3402YA Ryzen 5 5625U 14"" WQHD Laptop","AMD Ryzen 5 5600H (L2 3MB & L3 16MB Cache, 3.3GHz Up to 4.2GHz)","16GB DDR5, ", 512GB SSD,"13.6"" Liquid Retina display (2560 x 1664)","Backlit Keyboard, Fingerprint, Type-C","129,500"
"MSI Cyborg 15 A12VE Core i5 12th Gen RTX 4050 6GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-11400H Processor (12M Cache, 2.70 GHz up to 4.50 GHz)",16GB 5600MHz; , 512GB SSD,"Features: Backlit Keyboard, 165Hz Display, Type-C","Backlit Keyboard, Type-C, Privacy Shutter","129,500"
"Lenovo IdeaPad Pro 5 16ARP8 Ryzen 5 7535HS 16"" 2.5K Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB DDR5, ", 512GB SSD,"13.3"" 2.8K (2880 x 1800) OLED","Backlit Keyboard, Fingerprint, Type-C","129,500"
"ASUS TUF Gaming F15 FX506HF Core i7 11th Gen RTX 3050Ti 4GB Graphics 15.6"" FHD Gaming Laptop","AMD Ryzen 5 7535HS (3.3GHz up to 4.55GHz, 6 cores)","16GB DDR4, ", 512GB SSD,"15.3"" Liquid Retina display (2880 x 1864)","LED Backlight, Fingerprint","129,900"
"Lenovo IdeaPad Pro 5 16ARP8 Ryzen 7 7735HS 16"" 2.5K Laptop","Intel Core i5-12500H Processor (18M Cache, up to 4.50 GHz)","8GB, ", 256GB SSD,"15.3"" Liquid Retina display (2880 x 1864)","Backlit Keyboard, Type-C","130,000"
"ASUS TUF Gaming F15 FX507ZC4 Core i7 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB RAM, ", 512GB SSD,"15.3"" Liquid Retina display (2880 x 1864)","2W x2 Stereo speakers, Privacy Shutter","131,900"
"ASUS Vivobook Pro 15 M3500QC Ryzen 5 5600H RTX 3050 4GB Graphics 15.6"" FHD Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB LPDDR5, ", 512GB SSD,"14"" 2.8K (2880 x 1800) OLED Touch","Backlit Keyboard, Fingerprint , Type-C","132,000"
"ASUS TUF Gaming F15 FX506HE Core i5 11th Gen RTX 3050 Ti 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)","16GB DDR5, ", 512GB SSD,"13.5"" PixelSense Multi-Touch"," Backlit Keyboard , 165Hz, Type C","133,500"
"MSI Sword 15 A12UCX Core i5 12th Gen RTX 2050 4GB Graphics 15.6"" FHD Gaming Laptop","Ryzen 7 5800H (8-core, 16-thread, 20MB cache, up to 4.4 GHz)","16GB, ", 512GB SSD,"13.5"" PixelSense Multi-Touch","Backlit Keyboard, Type-C","134,000"
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 5 7535HS RTX 4050 6GB Graphics 15.6"" FHD Laptop","Intel Core i7-13700H (24M Cache, 3.70 GHz up to 5.0 GHz)","16GB (8x2) DDR5, ", 1TB SSD,"13.3"" 3K (2880 x 1800) OLED 0.2ms","144Hz Refresh Rate, Type C","124,000"
GIGABYTE G5 KF Core i5 12th Gen RTX 4060 8GB Graphics 15.6'' FHD 144Hz Gaming Laptop,"AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)","16GB DDR5 4800MHz, ", 512GB SSD,"Features: Backlit Keyboard, 165Hz Display, Type-C","Backlit Keyboard, Fingerprint, Type-C","135,000"
